Country,2000,2005,2010
MOZAMBIQUE,1349.456,1822.499,2874.928
TAJIKISTAN,2236.87,2442.222,2834.591
ZAMBIA,1822.499,2277.207,2673.243
MALTA,2064.521,2698.912,2618.238
GUINEA,1279.783,1180.774,2486.226
BAHAMAS,1668.485,1598.812,2464.224
ARUBA,2321.211,2497.227,2456.89
SURINAME,2126.86,2387.217,2394.551
MARTINIQUE,2119.526,2478.892,2266.206
GABON,1052.429,2174.531,2244.204
MAURITANIA,1173.44,1587.811,2137.861
HAITI,1367.791,2075.522,2119.526
MADAGASCAR,1873.837,1741.825,2086.523
OCCUPIED PALESTINIAN TERRITORY,792.072,2742.916,2035.185
ICELAND,2163.53,2203.867,1961.845
CONGO,1048.762,1239.446,1925.175
GUADELOUPE,2075.522,1716.156,1738.158
GUYANA,1609.813,1437.464,1719.823
TOGO,1356.79,1338.455,1719.823
BURKINA FASO,1041.428,1125.769,1683.153
BARBADOS,1188.108,1353.123,1518.138
NIGER,795.739,828.742,1353.123
FIJI,865.412,1364.124,1294.451
LAO PEOPLE S DEMOCRATIC REPUBLIC,971.755,1433.797,1272.449
MALI,821.408,898.415,1235.779
MALAWI,905.749,916.75,1213.777
MACAU,1635.482,1837.167,1199.109
MALDIVES,498.712,700.397,1074.431
SWAZILAND,1188.108,1019.426,1037.761
FRENCH POLYNESIA,630.724,850.744,883.747
LIBERIA,436.373,740.734,803.073
SIERRA LEONE,425.372,546.383,726.066
FRENCH GUIANA,572.052,660.06,700.397
SEYCHELLES,557.384,689.396,689.396
GREENLAND,531.715,608.722,663.727
FAEROE ISLANDS,689.396,722.399,630.724
SOMALIA,517.047,594.054,612.389
RWANDA,528.048,528.048,590.387
CAYMAN ISLANDS,454.708,480.377,564.718
BELIZE,689.396,414.371,553.717
ANTIGUA & BARBUDA,344.698,410.704,524.381
ANDORRA,524.381,575.719,517.047
CHAD,176.016,399.703,517.047
DJIBOUTI,363.033,421.705,517.047
ERITREA,608.722,766.403,513.38
BHUTAN,399.703,396.036,487.711
BERMUDA,495.045,443.707,476.71
GAMBIA,275.025,322.696,473.043
GIBRALTAR,333.697,388.702,473.043
SAINT LUCIA,330.03,366.7,403.37
CAPE VERDE,187.017,293.36,293.36
CENTRAL AFRICAN REPUBLIC,267.691,212.686,264.024
GRENADA,190.684,216.353,260.357
ST. KITTS-NEVIS,102.676,234.688,260.357
GUINEA BISSAU,146.68,212.686,238.355
ST. VINCENT & THE GRENADINES,146.68,220.02,234.688
PALAU,117.344,190.684,216.353
SAMOA,139.346,168.682,205.352
SOLOMON ISLANDS,165.015,179.683,198.018
BURUNDI,289.693,154.014,194.351
TURKS AND CAICOS ISLANDS,14.668,121.011,190.684
BRITISH VIRGIN ISLANDS,102.676,132.012,172.349
ANGUILLA,62.339,128.345,150.347
DOMINICA,102.676,113.677,135.679
COMOROS,84.341,110.01,132.012
FEDERATED STATES OF MICRONESIA,135.679,121.011,121.011
TONGA,95.342,113.677,117.344
VANUATU,80.674,55.005,117.344
MARSHALL ISLANDS,77.007,84.341,102.676
SAO TOME & PRINCIPE,47.671,77.007,99.009
MONTSERRAT,55.005,69.673,77.007
COOK ISLANDS,29.336,62.339,69.673
ST. PIERRE & MIQUELON,55.005,66.006,69.673
KIRIBATI,33.003,62.339,62.339
FALKLAND ISLANDS (MALVINAS),36.67,51.338,55.005
NAURU,102.676,88.008,55.005
NIUE,7.334,11.001,11.001
SAINT HELENA,11.001,11.001,11.001
